,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5
0,https://namal.edu.pk/entry-test-guidelines,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,Admissions,"
				Guidelines for Namal Entry Test ","
				General Information", ,To Contribute
1, , ,https://namal.edu.pk/academic-calendar,/ckEditorImages/uploads/userfiles/time-rkEubTnU8.png,"
						120 Minutes Only", , ,"
				Subjects", ,"
					Visiting Namal"
2, , ,https://namal.edu.pk/people#faculty,/ckEditorImages/uploads/userfiles/question.png,"
						100 MCQs", , ,"
				Marking Criteria", ,"
					Important Links"
3, , ,https://namal.edu.pk/quality-enhancement-cell,/ckEditorImages/uploads/userfiles/grade.png,"
						100 Marks", , ,"
				Items Not Allowed", ,"
					Resources"
4, , ,https://lms.namal.edu.pk/,/ckEditorImages/uploads/userfiles/english.png,"
	 ", , ,"
				Note", , 
5, , ,http://library.namal.edu.pk/,/ckEditorImages/uploads/userfiles/physics.png,"
	The Entry Test will consist of the following three parts:", , , , , 
6, , ,https://namal.edu.pk/contact-us,/ckEditorImages/uploads/userfiles/mathmatics.png,"
						English", , , , , 
7, , ,#about,/ckEditorImages/uploads/userfiles/mobile.png,"
						 Analytical Reasoning", , , , , 
8, , ,https://namal.edu.pk/chairmans-message,/ckEditorImages/uploads/userfiles/calculator.png,"
						Quantitative Reasoning", , , , , 
9, , ,https://namal.edu.pk/vision-and-mission,/ckEditorImages/uploads/userfiles/notes.png,"
						 ", , , , , 
10, , ,https://namal.edu.pk/core-values,https://namal.edu.pk/uploads/logo4980416.png,"
		The details of each subject are given below:", , , , , 
11, , ,https://namal.edu.pk/the-namal-story, ,"
	 ", , , , , 
12, , ,https://namal.edu.pk/namal-knowledge-city, ,"
	 ", , , , , 
13, , ,https://namal.edu.pk/people, ,"
	 ", , , , , 
14, , ,https://namal.edu.pk/quality-enhancement-cell, ,"
	Candidates are advised NOT to carry the following items with them:", , , , , 
15, , ,#academics, ,"
						Mobile Phone", , , , , 
16, , ,https://namal.edu.pk/academic-calendar, ,"
						Calculator", , , , , 
17, , ,https://namal.edu.pk/student-handbook, ,"
						Any other helping material", , , , , 
18, , ,#departments, ,"
	 ", , , , , 
19, , ,#, , , , , , , 
20, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , 
21, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , 
22, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , 
23, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , 
24, , ,#, , , , , , , 
25, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , 
26, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , 
27, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , 
28, , ,#admissions, , , , , , , 
29, , ,https://namal.edu.pk/apply, , , , , , , 
30, , ,https://namal.edu.pk/why-namal, , , , , , , 
31, , ,https://namal.edu.pk/admission-timeline, , , , , , , 
32, , ,https://namal.edu.pk/admission-criteria, , , , , , , 
33, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , 
34, , ,https://namal.edu.pk/financial-aid, , , , , , , 
35, , ,https://namal.edu.pk/fee-structure, , , , , , , 
36, , ,https://namal.edu.pk/deposit-slip, , , , , , , 
37, , ,https://namal.edu.pk/faqs, , , , , , , 
38, , ,#life-at-namal, , , , , , , 
39, , ,https://namal.edu.pk/workshops-and-seminars, , , , , , , 
40, , ,https://namal.edu.pk/facilities, , , , , , , 
41, , ,https://namal.edu.pk/green-namal, , , , , , , 
42, , ,https://namal.edu.pk/news-events, , , , , , , 
43, , ,https://namal.edu.pk/apply, , , , , , , 
44, , ,, , , , , , , 
45, , ,https://www.namalknowledgecity.com/, , , , , , , 
46, , ,https://namal.edu.pk/academic-calendar, , , , , , , 
47, , ,https://namal.edu.pk/people#faculty, , , , , , , 
48, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , 
49, , ,https://lms.namal.edu.pk/, , , , , , , 
50, , ,http://library.namal.edu.pk/, , , , , , , 
51, , ,https://namal.edu.pk/contact-us, , , , , , , 
52, , ,https://namal.edu.pk/apply, , , , , , , 
53, , ,https://namal.edu.pk/why-namal, , , , , , , 
54, , ,https://namal.edu.pk/admission-timeline, , , , , , , 
55, , ,https://namal.edu.pk/admission-criteria, , , , , , , 
56, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , 
57, , ,https://namal.edu.pk/financial-aid, , , , , , , 
58, , ,https://namal.edu.pk/fee-structure, , , , , , , 
